participantGuid	resultString
4285FE84-B20B-4C61-B02A-53BCBD86CAB0	"['TB,0,1506550315.74699','TF,0,1506550318.71087','TBP,0,1506550320.90069','TFP,0,1506550323.0798','TPC,0,1506550326.61231','F,8345,1506550819.74408','F,8514,1506550821.0782','F,8596,1506550822.0823','F,8707,1506550822.92727','F,8831,1506550823.49492','F,9041,1506550823.92736','F,9054,1506550824.30068','F,9089,1506550824.60958','F,9332,1506550824.90949','F,9491,1506550825.22597']"
42E2F2E5-62EF-417D-AE5A-FB7FE292A027	"['F,87,1494278311.13731','F,231,1494278311.90373','F,312,1494278312.38571','F,423,1494278312.75197','F,552,1494278313.03502','F,690,1494278313.30158','F,905,1494278313.5696','F,1005,1494278313.81821','F,1089,1494278314.05206','B,1291,1494278314.58734','P,1111,1494278315.72173','C,1111,1494278316.28722','F,1137,1494278317.78712','B,1282,1494278318.21889','F,1089,1494278318.53528','F,1291,1494278319.08693','F,1439,1494278319.31862','F,1452,1494278319.53685','F,1492,1494278319.75208','F,1583,1494278319.96898','F,1645,1494278320.18535','F,1844,1494278320.41905','F,1925,1494278320.6688','F,2036,1494278320.92009','F,2069,1494278321.15204','F,2168,1494278321.40242','F,2302,1494278321.63556','F,2369,1494278321.88576','F,2515,1494278322.13549','F,2564,1494278322.38622','F,2676,1494278322.61883','F,2849,1494278322.86932','F,2949,1494278323.11904','F,3285,1494278325.47075','F,3450,1494278325.7527','F,3552,1494278326.00261','F,3685,1494278326.21942','F,3777,1494278326.45251','F,3865,1494278326.68666','F,3932,1494278326.93599','F,3950,1494278327.16945','F,4046,1494278327.40253','F,4145,1494278327.63727','F,4220,1494278327.88594','F,4366,1494278328.12002','F,4465,1494278328.33589','F,4684,1494278328.55292','F,4764,1494278328.78764','F,4793,1494278329.00275','F,4901,1494278329.21947','F,5086,1494278329.43606','F,5623,1494278329.66981','F,5636,1494278329.88675','F,5655,1494278330.10272','F,5752,1494278330.32001','F,5822,1494278330.51933','F,6011,1494278330.73625','F,6135,1494278330.93605','F,6208,1494278331.15378','F,6315,1494278331.36942','F,6355,1494278331.5866','F,6539,1494278331.83602','F,6780,1494278332.01955','F,6914,1494278332.23695','F,7071,1494278332.46947','F,7205,1494278332.6864','F,7296,1494278332.91962','F,7504,1494278333.13658','F,7571,1494278333.35286','F,7670,1494278333.56981','F,7793,1494278333.7876','F,7902,1494278334.03646','F,8127,1494278334.28643','F,8280,1494278334.51989','F,8345,1494278334.76972','F,8493,1494278335.02065','F,8579,1494278335.23623','F,8696,1494278335.48668','F,8826,1494278335.71969','F,9041,1494278335.95361','F,9054,1494278336.1871','F,9089,1494278336.40307','F,9332,1494278336.63648','F,9491,1494278336.88667','F,9667,1494278337.13648','F,9746,1494278337.37013','F,9909,1494278337.63792','F,9979,1494278337.87055','F,10031,1494278338.10333','F,10133,1494278338.33655','F,10240,1494278338.57086','F,10333,1494278338.80314','F,10536,1494278339.05357','F,10730,1494278339.30326','F,10839,1494278339.55475','F,10923,1494278339.78659','F,11033,1494278340.03698','F,11255,1494278340.27148','F,11389,1494278340.50327','F,11482,1494278340.7367','F,11663,1494278340.98686','F,11834,1494278341.23752','F,11909,1494278341.47024','F,12023,1494278341.70371','F,12142,1494278341.93675','F,12305,1494278342.17059','F,12382,1494278342.38668','F,12541,1494278342.63973','F,12616,1494278342.85344','F,12781,1494278343.10399','F,12953,1494278343.35361','F,13142,1494278343.60396','F,13229,1494278343.82018','F,13402,1494278344.07054','F,13575,1494278344.3039','F,13743,1494278344.55459','F,13893,1494278344.78695','F,13950,1494278345.03728','F,14034,1494278345.28702','F,14136,1494278345.52173','F,14176,1494278345.75362','F,14225,1494278346.00495','F,14323,1494278346.25373','F,14562,1494278346.52075','F,14637,1494278346.75368','F,14711,1494278346.98787','F,14806,1494278347.23717','F,14918,1494278347.47065','F,15017,1494278347.72203','F,15092,1494278347.97048','F,15202,1494278348.18757','F,15321,1494278348.43712','F,15394,1494278348.67202','F,15445,1494278348.9205']"
45021A1D-AB6B-43B0-9F12-D01419794DB3	
468BB389-F1A0-4EC3-89D9-6454FDB1DA30	
46C25363-1869-4109-97AA-A5A7DBE94D3E	
480123DA-76A4-40EA-9AC6-2258278E2C99	
4B56273B-A3A7-45D2-9657-F9BEF6F6FBE3	"['BG,0,1503255294.38599','FG,0,1503255320.43711','BG,0,1503255406.26781','FG,0,1503255536.64012','BG,0,1503255665.65422','FG,0,1503255689.57886','BG,0,1503255846.05209','FG,0,1503255964.39531','TB,0,1503256921.15488','TF,0,1503256923.53819','TFP,0,1503256926.77438','TBP,0,1503256929.02401','TPC,0,1503256931.03444','BG,0,1503257071.76797','FG,0,1503257401.02203','FP,2409,1503257412.90444','P,7659,1503257711.85506','C,7659,1503257713.3329','P,14447,1503258114.69769','C,14447,1503258117.26701','B,14467,1503258118.19687','B,14238,1503258119.54708']"
4C461377-D5F5-42A6-BBF9-4B20AF1CC34E	"['TB,0,1503533156.69503','TPC,0,1503533159.36503','TBP,0,1503533161.98079','TPC,0,1503533167.1623','TF,0,1503533169.67989','TF,0,1503533174.38029','BP,1503,1503533267.66734','B,1439,1503533268.68202','B,1305,1503533269.98214','BP,6398,1503533585.36061','P,8148,1503533712.79345','C,8148,1503533723.09429','B,9874,1503533826.49236']"
4CAA20BE-77B7-4B45-8629-F1E3AFF98D66	"['F,19,1506653206.57791','B,37,1506653207.27823','FP,37,1506653209.53041','FP,429,1506653210.07946','FP,694,1506653210.53031','FP,1089,1506653210.8785','FP,1439,1506653211.1797','FP,1496,1506653211.46157','FP,1925,1506653211.7462','FP,2564,1506653212.02851','FP,3450,1506653212.313','FP,3950,1506653212.57838','FP,4465,1506653212.86312','FP,4793,1506653213.14535','FP,5623,1506653213.43001','FP,5655,1506653213.71199','P,5655,1506653213.74445','FP,6011,1506653213.98017','FP,6539,1506653214.26185','FP,6914,1506653214.5461','P,7504,1506653214.84422','FP,7504,1506653215.08068','FP,8345,1506653215.37891','FP,9041,1506653215.91365','FP,9089,1506653216.19569','FP,9491,1506653216.48033','FP,10536,1506653216.74567','FP,11255,1506653217.01391','FP,12032,1506653217.58068','FP,12616,1506653217.8291','FP,13229,1506653218.09722','P,14136,1506653218.41083','FP,14136,1506653218.63083','FP,14323,1506653218.91258','FP,14711,1506653219.19767','FP,14711,1506653219.47932','FP,14711,1506653219.76304','FP,14711,1506653220.04636','FP,14711,1506653220.34786','FP,14711,1506653220.62948','FP,14711,1506653220.91294','FP,14711,1506653221.21319','F,14748,1506653223.48125','F,14806,1506653224.12986','F,14918,1506653224.62985','F,15017,1506653225.04658','F,15092,1506653225.41299','F,15202,1506653225.76228','F,15325,1506653226.0956','F,15394,1506653226.39669','F,15448,1506653226.74566','F,15453,1506653227.097','F,15471,1506653228.3479','F,15489,1506653228.89713']"
5263E1B2-1F8A-4ED8-AF78-C18E301F23EE	
